"state_name","district_name","market_name","variety","group","arrival_tonnes","min_price_rs_quintal","max_price_rs_quintal","modal_price_rs_quintal","reported_date","commodity_name"
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Ambada Seed
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Ambada Seed
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Ambada Seed
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Ambada Seed
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Wool
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Wool
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Wool
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Wool
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Pointed gourd (Parval)
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Pointed gourd (Parval)
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Pointed gourd (Parval)
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Pointed gourd (Parval)
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Gladiolus Bulb
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Gladiolus Bulb
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Gladiolus Bulb
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Gladiolus Bulb
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Thogrikai
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Thogrikai
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Thogrikai
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Thogrikai
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Coconut Oil
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Coconut Oil
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Coconut Oil
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Coconut Oil
Gujarat,Surat,Surat,Other,Vegetables,"1.50","4000","7500","5750",2022-07-13,Ajwan
Haryana,Sonipat,Ganaur,Yam (Ratalu),Vegetables,"0.45","2500","3000","2800",2022-07-13,Ajwan
Telangana,Hyderabad,Erragadda(Rythu Bazar),Other,Vegetables,"3.00","2300","2300","2300",2022-07-13,Ajwan
Telangana,Ranga Reddy,Mehndipatnam(Rythu Bazar),Other,Vegetables,"0.40","2300","2300","2300",2022-07-13,Ajwan
